,gammaTuple,power,harmonic,a1,b1,a2,b2,V1,I1,V2,I2,Pin,Pout,Gain,Pdc1,Pdc2,PAE,Load Gamma,r,x
0,"(1,)",1,1,(0.070879+5.1762e-09j),(-0.026948-0.046097j),(1.9129e-08+2.6748e-08j),(-0.038217+0.22938j),-0.3,1.5976e-10,3.0,0.036283,0.0010863522640000129,0.027037861744499462,24.888668842042513,-4.7928e-11,0.108849,0.23841752777241362,(9.994139510864527e-08-1.0004560248002046e-07j),9.994139510864527e-08,-1.0004560248002046e-07
1,"(1,)",1,2,(2.9201e-10+3.065e-11j),(0.0013045+0.0016124j),(1.0447e-09-3.0949e-10j),(0.0067693+0.0036795j),,,,,-2.1507770049999574e-06,2.9681071369999404e-05,-13.800162127918972,,,,(9.994786207409061e-08-1.0004700020705484e-07j),9.994786207409061e-08,-1.0004700020705484e-07
2,"(1,)",1,3,(-8.201e-12+6.5514e-11j),(-0.00036854+0.0002863j),(2.3736e-11+2.2453e-10j),(-0.0010047+0.0012409j),,,,,-1.0889471079999781e-07,1.2746274499999747e-06,-11.705136462881358,,,,(9.993967955107195e-08-1.0004464182848094e-07j),9.993967955107195e-08,-1.0004464182848094e-07
3,"(1,)",2,1,(0.079527+5.7272e-09j),(-0.029825-0.052162j),(2.1124e-08+2.9737e-08j),(-0.043199+0.2543j),-0.3,1.031e-09,3.0,0.037129,0.0013570694300000163,0.03326732180049934,24.514089747419145,-3.093e-10,0.11138700000000001,0.2864809391625533,(9.994167044580153e-08-1.0004475116629249e-07j),9.994167044580153e-08,-1.0004475116629249e-07
4,"(1,)",2,2,(3.6833e-10+4.8639e-11j),(0.001599+0.0020823j),(1.3319e-09-3.581e-10j),(0.0084479+0.0048735j),,,,,-3.4463871449999305e-06,4.755900832999904e-05,-13.799670881142402,,,,(9.994486842572899e-08-1.0004632112984177e-07j),9.994486842572899e-08,-1.0004632112984177e-07
5,"(1,)",2,3,(-5.9942e-12+1.0147e-10j),(-0.00053766+0.00047755j),(5.9245e-11+3.4284e-10j),(-0.0014191+0.0020098j),,,,,-2.585661390499948e-07,3.0265704249999396e-06,-11.70520794455124,,,,(9.994237165322197e-08-1.0004638253213618e-07j),9.994237165322197e-08,-1.0004638253213618e-07
6,"(1,)",3,1,(0.089231+6.2663e-09j),(-0.032757-0.059319j),(2.3094e-08+3.2894e-08j),(-0.049146+0.27993j),-0.3,4.894e-09,3.0,0.038147,0.00168520327550002,0.0403880671079992,23.966288040839213,-1.4682e-09,0.114441,0.3381905421352415,(9.994337776071619e-08-1.0004578731621532e-07j),9.994337776071619e-08,-1.0004578731621532e-07
7,"(1,)",3,2,(4.5911e-10+8.2522e-11j),(0.0018814+0.0027079j),(1.6922e-09-3.6957e-10j),(0.010306+0.0066189j),,,,,-5.4361941849998925e-06,7.501173660499848e-05,-13.798575630719483,,,,(9.994213576172946e-08-1.0004628395044741e-07j),9.994213576172946e-08,-1.0004628395044741e-07
8,"(1,)",3,3,(3.8034e-12+1.6489e-10j),(-0.0008052+0.0008446j),(1.4194e-10+5.4644e-10j),(-0.0020244+0.0034411j),,,,,-6.808480999999864e-07,7.969682284999841e-06,-11.705521811693385,,,,(9.994196073526413e-08-1.0004431876797208e-07j),9.994196073526413e-08,-1.0004431876797208e-07
9,"(1,)",4,1,(0.10012+6.7548e-09j),(-0.035489-0.067982j),(2.4819e-08+3.6066e-08j),(-0.056392+0.30441j),-0.3,1.4756e-08,3.0,0.039354,0.0020714964775000234,0.04792275288199905,23.13436368467033,-4.4268e-09,0.118062,0.3883659128635719,(9.994478025487151e-08-1.0004627327660953e-07j),9.994478025487151e-08,-1.0004627327660953e-07
10,"(1,)",4,2,(5.6171e-10+1.4563e-10j),(0.0020809+0.0035352j),(2.1339e-09-3.003e-10j),(0.012167+0.0091748j),,,,,-8.413891924999834e-06,0.0001161064220199977,-13.799371688506682,,,,(9.9942658021114e-08-1.0004552468251145e-07j),9.9942658021114e-08,-1.0004552468251145e-07
11,"(1,)",4,3,(2.6116e-11+2.8171e-10j),(-0.0012773+0.001538j),(3.0665e-10+9.1736e-10j),(-0.0030569+0.0061189j),,,,,-1.9984696449999605e-06,2.3392787409999534e-05,-11.705350375737128,,,,(9.994182473955976e-08-1.0004447924404063e-07j),9.994182473955976e-08,-1.0004447924404063e-07
12,"(1,)",5,1,(0.11233+7.1478e-09j),(-0.037734-0.078531j),(2.6115e-08+3.9072e-08j),(-0.064958+0.32592j),-0.3,3.2816e-08,3.0,0.040741,0.002513528091500025,0.05522169408199889,21.969793880061093,-9.8448e-09,0.122223,0.4312458865393491,(9.994231663383472e-08-1.0004618619262591e-07j),9.994231663383472e-08,-1.0004618619262591e-07
13,"(1,)",5,2,(6.6009e-10+2.4175e-10j),(0.002095+0.0045105j),(2.6101e-09-1.1127e-10j),(0.013602+0.012502j),,,,,-1.236681762499975e-05,0.00017065720399999659,-13.799605458320167,,,,(9.994152564458984e-08-1.0003962311488476e-07j),9.994152564458984e-08,-1.0003962311488476e-07
14,"(1,)",5,3,(5.2621e-11+4.716e-10j),(-0.0020933+0.0026224j),(5.4445e-10+1.5294e-09j),(-0.0049304+0.010367j),,,,,-5.629443324999888e-06,6.589176657999868e-05,-11.704845892555458,,,,(9.994369709308831e-08-1.0004942646356348e-07j),9.994369709308831e-08,-1.0004942646356348e-07
15,"(1,)",6,1,(0.12604+7.4389e-09j),(-0.03939-0.09105j),(2.7032e-08+4.1857e-08j),(-0.074302+0.34443j),-0.3,5.9184e-08,3.0,0.042158,0.0030222035000000294,0.06207640605199877,20.540114539606005,-1.77552e-08,0.126474,0.4669276100384169,(9.994356660730221e-08-1.0004357020600926e-07j),9.994356660730221e-08,-1.0004357020600926e-07
16,"(1,)",6,2,(7.1792e-10+3.6457e-10j),(0.0017667+0.0054127j),(2.9821e-09+2.2928e-10j),(0.013757+0.016065j),,,,,-1.6209275089999676e-05,0.0002236696369999955,-13.79886736193333,,,,(9.994233794907082e-08-1.0004315324211842e-07j),9.994233794907082e-08,-1.0004315324211842e-07
17,"(1,)",6,3,(6.0018e-11+7.2189e-10j),(-0.0033119+0.0039076j),(7.6211e-10+2.3582e-09j),(-0.0079888+0.015598j),,,,,-1.3119009684999738e-05,0.00015355926471999692,-11.705095766151954,,,,(9.9944667252637e-08-1.0004795215719107e-07j),9.9944667252637e-08,-1.0004795215719107e-07
18,"(1,)",7,1,(0.14142+7.6442e-09j),(-0.040402-0.10559j),(2.7662e-08+4.4395e-08j),(-0.083851+0.36027j),-0.3,1.0354e-07,3.0,0.043539,0.0036090233480000275,0.06841273155049862,18.95602354260472,-3.1062e-08,0.130617,0.4961353284985766,(9.994265671080384e-08-1.0004244513242181e-07j),9.994265671080384e-08,-1.0004244513242181e-07
19,"(1,)",7,2,(7.2347e-10+4.9855e-10j),(0.0011187+0.0061056j),(3.1883e-09+6.8312e-10j),(0.012517+0.019365j),,,,,-1.9264920524999614e-05,0.0002658392569999947,-13.799135929734133,,,,(9.994116463393516e-08-1.0004319350772185e-07j),9.994116463393516e-08,-1.0004319350772185e-07
20,"(1,)",7,3,(2.2052e-11+1.0121e-09j),(-0.0049509+0.0051697j),(8.6313e-10+3.3539e-09j),(-0.012465+0.02108j),,,,,-2.561860444999949e-05,0.000299871312499994,-11.70521653844419,,,,(9.994503317152086e-08-1.0004482155991498e-07j),9.994503317152086e-08,-1.0004482155991498e-07
21,"(1,)",8,1,(0.15868+7.6937e-09j),(-0.040706-0.12224j),(2.8085e-08+4.6658e-08j),(-0.093061+0.3737j),-0.3,1.7322e-07,3.0,0.044864,0.004289873182000026,0.07415601986049851,17.28629652075763,-5.1966000000000004e-08,0.134592,0.5190958354025387,(9.994115408893022e-08-1.00041808243698e-07j),9.994115408893022e-08,-1.00041808243698e-07
22,"(1,)",8,2,(6.7311e-10+6.3764e-10j),(0.00018542+0.0065613j),(3.222e-09+1.2278e-09j),(0.0099606+0.022256j),,,,,-2.1542519133199568e-05,0.0002972715441799941,-13.79929349682524,,,,(9.994056135427041e-08-1.0004187835076625e-07j),9.994056135427041e-08,-1.0004187835076625e-07
23,"(1,)",8,3,(-6.9579e-11+1.3139e-09j),(-0.0069177+0.0062059j),(7.8771e-10+4.4269e-09j),(-0.01821+0.026065j),,,,,-4.318388404999914e-05,0.0005054941624999899,-11.705620594820024,,,,(9.994472428749365e-08-1.000461703155672e-07j),9.994472428749365e-08,-1.000461703155672e-07
24,"(1,)",9,1,(0.17804+7.702e-09j),(-0.040264-0.1412j),(2.8318e-08+4.8646e-08j),(-0.10184+0.3848j),-0.3,2.6866e-07,3.0,0.046116,0.005069805952000029,0.0792212127999984,15.626083828464042,-8.0598e-08,0.138348,0.5359774398473297,(9.994214377894504e-08-1.0004186050532166e-07j),9.994214377894504e-08,-1.0004186050532166e-07
25,"(1,)",9,2,(5.7842e-10+7.6434e-10j),(-0.00093081+0.0067117j),(3.0708e-09+1.8001e-09j),(0.0063418+0.024359j),,,,,-2.295666207304954e-05,0.0003167896541199937,-13.79946497064552,,,,(9.994492325815227e-08-1.000438969449259e-07j),9.994492325815227e-08,-1.000438969449259e-07
