,gammaTuple,power,harmonic,a1,b1,a2,b2,V1,I1,V2,I2,Pin,Pout,Gain,Pdc1,Pdc2,PAE,Load Gamma,r,x
0,"(1,)",1,1,(0.070879+4.6579e-09j),(-0.038357-0.062649j),(7.9084e-09+3.6727e-08j),(-0.14422+0.22312j),-0.3,7.1497e-10,3.0,0.036737,-0.0001861620044999895,0.035290971399999295,-189.5712903112906,-2.1449099999999998e-10,0.110211,0.32190192816052193,(9.99402752625846e-08-1.0004386204002307e-07j),9.99402752625846e-08,-1.0004386204002307e-07
1,"(1,)",1,2,(2.9219e-10-1.8049e-10j),(0.002362+0.00055979j),(7.6609e-10-1.0586e-09j),(0.0091246-0.0014578j),,,,,-2.9462044220499406e-06,4.2691752999999155e-05,-14.490424588492962,,,,(9.994309549668762e-08-1.0004854518389068e-07j),9.994309549668762e-08,-1.0004854518389068e-07
2,"(1,)",1,3,(4.8135e-11+9.7397e-11j),(-0.00024622+0.00072735j),(2.414e-10+2.9435e-10j),(-0.00026612+0.0026788j),,,,,-2.9483115544999404e-07,3.623394647199927e-06,-12.289727799186021,,,,(9.994266185711773e-08-1.0004357965261169e-07j),9.994266185711773e-08,-1.0004357965261169e-07
3,"(1,)",2,1,(0.079527+5.0572e-09j),(-0.041906-0.070917j),(8.3541e-09+4.0402e-08j),(-0.16037+0.24372j),-0.3,4.0839e-09,3.0,0.037541,-0.000230394997999987,0.04255898764999915,-184.72183866596598,-1.22517e-09,0.112623,0.37993467274001885,(9.994397062449863e-08-1.0004150077568869e-07j),9.994397062449863e-08,-1.0004150077568869e-07
4,"(1,)",2,2,(3.417e-10-2.3283e-10j),(0.0028736+0.00054375j),(8.6377e-10-1.3162e-09j),(0.010902-0.0022567j),,,,,-4.276620511249913e-06,6.197314944499877e-05,-14.491150028854465,,,,(9.993916067629665e-08-1.0004286333716762e-07j),9.993916067629665e-08,-1.0004286333716762e-07
5,"(1,)",2,3,(6.2949e-11+1.6914e-10j),(-0.00053097+0.0011597j),(3.4859e-10+5.2752e-10j),(-0.00089695+0.0043804j),,,,,-8.134166154499836e-07,9.996211731249799e-06,-12.28916589774832,,,,(9.994190105305748e-08-1.0004403436890235e-07j),9.994190105305748e-08,-1.0004403436890235e-07
6,"(1,)",3,1,(0.089231+5.3732e-09j),(-0.045034-0.080563j),(8.537e-09+4.3912e-08j),(-0.17702+0.26217j),-0.3,1.3277e-08,3.0,0.038428,-0.00027814338199998526,0.05003459464999901,-179.88777690925488,-3.9831e-09,0.115284,0.436424291592927,(9.994274331549922e-08-1.0004525468859775e-07j),9.994274331549922e-08,-1.0004525468859775e-07
7,"(1,)",3,2,(3.8534e-10-3.0944e-10j),(0.0034774+0.00037566j),(9.0492e-10-1.6511e-09j),(0.012783-0.0037244j),,,,,-6.116715597799877e-06,8.863812217999822e-05,-14.491130209140422,,,,(9.993978191472559e-08-1.000457072859889e-07j),9.993978191472559e-08,-1.000457072859889e-07
8,"(1,)",3,3,(7.2479e-11+2.9331e-10j),(-0.0011044+0.0018286j),(4.796e-10+9.4418e-10j),(-0.0023267+0.0071182j),,,,,-2.281738659999955e-06,2.8041152064999435e-05,-12.28937939150314,,,,(9.994198424885577e-08-1.0004425483293709e-07j),9.994198424885577e-08,-1.0004425483293709e-07
9,"(1,)",4,1,(0.10012+5.5809e-09j),(-0.047454-0.091778j),(8.3972e-09+4.7063e-08j),(-0.19348+0.27722j),-0.3,2.975e-08,3.0,0.039457,-0.0003255344999999847,0.05714271939999886,-175.5350643326638,-8.924999999999999e-09,0.118371,0.4854926789500709,(9.994374369939418e-08-1.0004442511708674e-07j),9.994374369939418e-08,-1.0004442511708674e-07
