,gammaTuple,power,harmonic,a1,b1,a2,b2,V1,I1,V2,I2,Pin,Pout,Gain,Pdc1,Pdc2,PAE,Load Gamma,r,x
0,"(1,)",1,1,(0.070879+5.2856e-09j),(-0.031359-0.049414j),(1.7072e-08+3.0327e-08j),(-0.066403+0.23698j),-0.3,1.3167e-10,3.0,0.036117,0.0007993511820000145,0.03028443940449939,37.88627587780166,-3.9500999999999995e-11,0.108351,0.27212566771418234,(9.994011054899266e-08-1.0004356131650248e-07j),9.994011054899266e-08,-1.0004356131650248e-07
1,"(1,)",1,2,(2.7681e-10-1.5637e-11j),(0.0014631+0.0013049j),(9.3419e-10-4.5106e-10j),(0.0069254+0.0024193j),,,,,-1.9217128099999613e-06,2.690708882499946e-05,-14.001618079966903,,,,(9.994373607230995e-08-1.000453231119848e-07j),9.994373607230995e-08,-1.000453231119848e-07
2,"(1,)",1,3,(9.5297e-12+7.1692e-11j),(-0.00031019+0.00040624j),(8.8407e-11+2.3287e-10j),(-0.00072316+0.0016061j),,,,,-1.3062438684999742e-07,1.5512587977999693e-06,-11.875721181997648,,,,(9.994467116633167e-08-1.0004544449327214e-07j),9.994467116633167e-08,-1.0004544449327214e-07
3,"(1,)",2,1,(0.079527+5.8256e-09j),(-0.034654-0.055964j),(1.8749e-08+3.3667e-08j),(-0.074729+0.26206j),-0.3,9.2304e-10,3.0,0.036859,0.0009958373585000168,0.03712993352049926,37.28513818403674,-2.76912e-10,0.11057700000000001,0.326777685793603,(9.994200494464093e-08-1.0004413526485564e-07j),9.994200494464093e-08,-1.0004413526485564e-07
4,"(1,)",2,2,(3.3926e-10-8.6525e-12j),(0.0017399+0.0016562j),(1.162e-09-5.1525e-10j),(0.0083851+0.0032381j),,,,,-2.8851252249999424e-06,4.039759680999919e-05,-14.002025444146883,,,,(9.994474687416438e-08-1.000442552686589e-07j),9.994474687416438e-08,-1.000442552686589e-07
5,"(1,)",2,3,(2.0611e-11+1.1687e-10j),(-0.00048073+0.00068774j),(1.6109e-10+3.7585e-10j),(-0.0010752+0.0026843j),,,,,-3.5204382024999305e-07,4.180760764999917e-06,-11.87568286820396,,,,(9.994475096448147e-08-1.0004492651231622e-07j),9.994475096448147e-08,-1.0004492651231622e-07
6,"(1,)",3,1,(0.089231+6.3421e-09j),(-0.037904-0.063747j),(2.0293e-08+3.7111e-08j),(-0.08424+0.287j),-0.3,4.9421e-09,3.0,0.037687,0.001230889068000022,0.0447326887999991,36.34177113351233,-1.48263e-09,0.113061,0.3847639745977754,(9.994228963048607e-08-1.0004229435007717e-07j),9.994228963048607e-08,-1.0004229435007717e-07
7,"(1,)",3,2,(4.0234e-10+1.3401e-11j),(0.0019452+0.0020792j),(1.4103e-09-5.2998e-10j),(0.0096999+0.004407j),,,,,-4.053437839999918e-06,5.675485450499886e-05,-14.001659022603887,,,,(9.99398836358624e-08-1.0004382181086875e-07j),9.99398836358624e-08,-1.0004382181086875e-07
8,"(1,)",3,3,(4.1738e-11+2.0124e-10j),(-0.00079795+0.0012155j),(2.9799e-10+6.4287e-10j),(-0.0017269+0.0047037j),,,,,-1.0570822262499788e-06,1.2553488649999748e-05,-11.875602803893042,,,,(9.994308187788101e-08-1.000450088430199e-07j),9.994308187788101e-08,-1.000450088430199e-07
9,"(1,)",4,1,(0.10012+6.7611e-09j),(-0.040759-0.073171j),(2.1483e-08+4.0434e-08j),(-0.094919+0.30955j),-0.3,1.5723e-08,3.0,0.038614,0.0015043615390000235,0.052415409530498946,34.842295666067365,-4.7169000000000005e-09,0.115842,0.43948695629822454,(9.994388975348387e-08-1.000470814779872e-07j),9.994388975348387e-08,-1.000470814779872e-07
10,"(1,)",4,2,(4.5927e-10+5.1363e-11j),(0.0020391+0.0025557j),(1.6623e-09-4.7936e-10j),(0.010706+0.0059204j),,,,,-5.344765649999893e-06,7.48347860799985e-05,-14.001509323425623,,,,(9.994403431586584e-08-1.0004377552434636e-07j),9.994403431586584e-08,-1.0004377552434636e-07
11,"(1,)",4,3,(6.8979e-11+3.5484e-10j),(-0.0014292+0.0021197j),(5.0998e-10+1.1367e-09j),(-0.003138+0.0082324j),,,,,-3.2678703649999353e-06,3.8809726879999226e-05,-11.876152522959703,,,,(9.994210812132364e-08-1.0004352743850074e-07j),9.994210812132364e-08,-1.0004352743850074e-07
12,"(1,)",5,1,(0.11233+7.0711e-09j),(-0.042929-0.084496j),(2.2219e-08+4.3448e-08j),(-0.10632+0.3283j),-0.3,3.5147e-08,3.0,0.039698,0.0018177779215000252,0.059542416199998796,32.75560534416908,-1.0544099999999999e-08,0.11909399999999999,0.4846981231506103,(9.994265499759817e-08-1.0004539469797333e-07j),9.994265499759817e-08,-1.0004539469797333e-07
13,"(1,)",5,2,(5.0649e-10+9.815e-11j),(0.0020444+0.0030238j),(1.8921e-09-3.8713e-10j),(0.011393+0.0075313j),,,,,-6.661468899999868e-06,9.326046434499813e-05,-13.999984950016051,,,,(9.994108040273451e-08-1.0004531368709861e-07j),9.994108040273451e-08,-1.0004531368709861e-07
14,"(1,)",5,3,(7.9987e-11+5.8766e-10j),(-0.0025381+0.0033359j),(7.2833e-10+1.9085e-09j),(-0.005908+0.013182j),,,,,-8.785090209999824e-06,0.0001043347939999979,-11.876348620898224,,,,(9.994208336674342e-08-1.0004459327345777e-07j),9.994208336674342e-08,-1.0004459327345777e-07
15,"(1,)",6,1,(0.12604+7.2853e-09j),(-0.044408-0.097697j),(2.2637e-08+4.6158e-08j),(-0.11779+0.34394j),-0.3,6.3675e-08,3.0,0.040833,0.0021846536635000283,0.06608460384999869,30.249464688203577,-1.9102500000000002e-08,0.122499,0.5216365046775783,(9.994135941241629e-08-1.000438818549413e-07j),9.994135941241629e-08,-1.000438818549413e-07
16,"(1,)",6,2,(5.2191e-10+1.4698e-10j),(0.0018734+0.0033423j),(2.0132e-09-2.3897e-10j),(0.011257+0.0088774j),,,,,-7.340298424999851e-06,0.00010276413987999795,-13.999994813562369,,,,(9.994322993403328e-08-1.0004495242217173e-07j),9.994322993403328e-08,-1.0004495242217173e-07
17,"(1,)",6,3,(4.5419e-11+8.6469e-10j),(-0.0041017+0.004552j),(8.2972e-10+2.8685e-09j),(-0.010204+0.018487j),,,,,-1.8772323444999624e-05,0.00022294539249999553,-11.876281226093054,,,,(9.994262747547025e-08-1.0004514365552541e-07j),9.994262747547025e-08,-1.0004514365552541e-07
18,"(1,)",7,1,(0.14142+7.3626e-09j),(-0.04519-0.11279j),(2.2854e-08+4.8576e-08j),(-0.1288+0.35711j),-0.3,1.1575e-07,3.0,0.041954,0.002617948100000024,0.07205849604999856,27.524799307517938,-3.4725e-08,0.125862,0.5517197243806593,(9.994227571725734e-08-1.0004358632461357e-07j),9.994227571725734e-08,-1.0004358632461357e-07
19,"(1,)",7,2,(4.9895e-10+1.9693e-10j),(0.0015086+0.0034784j),(2.0058e-09-3.2944e-11j),(0.010189+0.00987j),,,,,-7.1875702599998566e-06,0.000100616310499998,-13.99865418498184,,,,(9.994373089241827e-08-1.0004795602200102e-07j),9.994373089241827e-08,-1.0004795602200102e-07
20,"(1,)",7,3,(-4.8626e-11+1.158e-09j),(-0.0060281+0.0055437j),(7.4494e-10+3.921e-09j),(-0.015893+0.023323j),,,,,-3.353529964999932e-05,0.00039827488899999206,-11.876288363506545,,,,(9.9943724521382e-08-1.0004483187490137e-07j),9.9943724521382e-08,-1.0004483187490137e-07
21,"(1,)",8,1,(0.15868+7.3963e-09j),(-0.045262-0.12993j),(2.2917e-08+5.0712e-08j),(-0.13918+0.3681j),-0.3,1.9047e-07,3.0,0.043048,0.003124444428000025,0.07743434119999845,24.783395251348615,-5.7141e-08,0.129144,0.5754034006380352,(9.993950293981451e-08-1.0004504216018306e-07j),9.993950293981451e-08,-1.0004504216018306e-07
22,"(1,)",8,2,(4.3829e-10+2.4131e-10j),(0.0009818+0.0033952j),(1.8584e-09+2.0794e-10j),(0.0082474+0.010336j),,,,,-6.245657139999874e-06,8.742625137999825e-05,-13.997926786611924,,,,(9.994844639992158e-08-1.0004694109532572e-07j),9.994844639992158e-08,-1.0004694109532572e-07
23,"(1,)",8,3,(-1.9138e-10+1.4389e-09j),(-0.0081518+0.0062332j),(4.843e-10+4.9775e-09j),(-0.022481+0.027299j),,,,,-5.265231273999895e-05,0.0006253153809999875,-11.876313659531759,,,,(9.994414658416984e-08-1.0004558259858318e-07j),9.994414658416984e-08,-1.0004558259858318e-07
24,"(1,)",9,1,(0.17804+7.3555e-09j),(-0.044557-0.14922j),(2.2893e-08+5.2541e-08j),(-0.14844+0.37712j),-0.3,2.9321e-07,3.0,0.044102,0.00372315347550003,0.08212696399999836,22.05844173237271,-8.7963e-08,0.132306,0.5925945197080882,(9.994296757396268e-08-1.0004384309153324e-07j),9.994296757396268e-08,-1.0004384309153324e-07
25,"(1,)",9,2,(3.3963e-10+2.8084e-10j),(0.00029628+0.0031048j),(1.5774e-09+4.8447e-10j),(0.0054598+0.010313j),,,,,-4.863782439199902e-06,6.808369251999864e-05,-13.998095797064165,,,,(9.99404345321193e-08-1.000431703230423e-07j),9.99404345321193e-08,-1.000431703230423e-07
26,"(1,)",9,3,(-3.7855e-10+1.6978e-09j),(-0.010383+0.0066023j),(6.3365e-11+5.9962e-09j),(-0.029681+0.030285j),,,,,-7.569852714499849e-05,0.000899071492999982,-11.87700113739115,,,,(9.994432135498705e-08-1.0004333505489089e-07j),9.994432135498705e-08,-1.0004333505489089e-07
27,"(2,)",1,1,(0.070879+4.0531e-09j),(-0.021719-0.052069j),(0.035936-0.029902j),(-0.080853+0.21932j),-0.3,1.0369e-09,3.0,0.037365,0.0009204684595000082,0.026226472154499997,28.492526695315586,-3.1107e-10,0.112095,0.22575497296935626,(-0.17320470442238148-0.09999945300627938j),-0.17320470442238148,-0.09999945300627938
28,"(2,)",1,2,(3.9852e-10+2.5848e-11j),(0.0018604+0.0021219j),(1.414e-09-4.7988e-10j),(0.0094679+0.0046759j),,,,,-3.981773884999919e-06,5.575258560999888e-05,-14.001946675080976,,,,(9.99392188368858e-08-1.0004180371142433e-07j),9.99392188368858e-08,-1.0004180371142433e-07
29,"(2,)",1,3,(-1.7054e-11+9.3413e-11j),(-0.00055268+0.00038182j),(1.5947e-11+3.2697e-10j),(-0.0015561+0.0017139j),,,,,-2.2562084739999546e-07,2.679450209999946e-06,-11.87589817553358,,,,(9.994191239328908e-08-1.00044699151174e-07j),9.994191239328908e-08,-1.00044699151174e-07
30,"(2,)",2,1,(0.079527+4.4658e-09j),(-0.023916-0.058811j),(0.039872-0.032969j),(-0.090228+0.24244j),-0.3,4.5289e-09,3.0,0.0386,0.0011469174760000093,0.0321207571195,28.006162423755534,-1.35867e-09,0.11580000000000001,0.26747702628238335,(-0.17320500671899386-0.1000002419310288j),-0.17320500671899386,-0.1000002419310288
31,"(2,)",2,2,(5.1592e-10+3.5234e-11j),(0.0024059+0.0027504j),(1.8317e-09-6.1932e-10j),(0.012253+0.0060686j),,,,,-6.676527484999866e-06,9.348195747999813e-05,-14.001583561218576,,,,(9.994128948357574e-08-1.0004274131723072e-07j),9.994128948357574e-08,-1.0004274131723072e-07
32,"(2,)",2,3,(-2.2894e-11+1.3999e-10j),(-0.00081288+0.00058351j),(3.2531e-11+4.8655e-10j),(-0.0022716+0.0025944j),,,,,-5.0062890724999e-07,5.945538959999881e-06,-11.876139938980721,,,,(9.99411414503623e-08-1.0004521157826203e-07j),9.99411414503623e-08,-1.0004521157826203e-07
33,"(2,)",3,1,(0.089231+4.8803e-09j),(-0.026129-0.066603j),(0.044039-0.036071j),(-0.10052+0.26629j),-0.3,1.2668e-08,3.0,0.040221,0.0014217435555000124,0.038887041969,27.351656927555993,-3.800399999999999e-09,0.12066299999999999,0.31049533339548985,(-0.17320508765610734-0.09999783915583796j),-0.17320508765610734,-0.09999783915583796
34,"(2,)",3,2,(6.7218e-10+4.7425e-11j),(0.0031278+0.0035943j),(2.3904e-09-8.0132e-10j),(0.015956+0.0079542j),,,,,-1.1351062664999773e-05,0.00015893161681999684,-14.00147470862368,,,,(9.994035010660755e-08-1.0004171050501238e-07j),9.994035010660755e-08,-1.0004171050501238e-07
35,"(2,)",3,3,(-2.955e-11+2.1286e-10j),(-0.001211+0.00091691j),(6.817e-11+7.3711e-10j),(-0.003347+0.004025j),,,,,-1.1536224740499771e-06,1.3701516999999726e-05,-11.876950482681174,,,,(9.994158894960315e-08-1.000433535936203e-07j),9.994158894960315e-08,-1.000433535936203e-07
36,"(2,)",4,1,(0.10012+5.2795e-09j),(-0.028265-0.075663j),(0.048375-0.039081j),(-0.11177+0.29016j),-0.3,2.652e-08,3.0,0.042269,0.0017501073030000138,0.04640894665699999,26.51777212599839,-7.955999999999999e-09,0.126807,0.3521796064412846,(-0.17320737048309132-0.09999866349981007j),-0.17320737048309132,-0.09999866349981007
