,gammaTuple,power,harmonic,a1,b1,a2,b2,V1,I1,V2,I2,Pin,Pout,Gain,Pdc1,Pdc2,PAE,Load Gamma,r,x
0,"(1,)",1,1,(0.070879+5.2161e-09j),(-0.034774-0.053515j),(1.4345e-08+3.3237e-08j),(-0.094589+0.23788j),-0.3,1.7503e-10,3.0,0.036149,0.0004753731700000126,0.03276698666049935,68.92897775551464,-5.250899999999999e-11,0.108447,0.2977640090597189,(9.994111486143077e-08-1.000434257341007e-07j),9.994111486143077e-08,-1.000434257341007e-07
1,"(1,)",1,2,(2.7011e-10-6.6368e-11j),(0.0016845+0.0010172j),(8.4399e-10-6.2118e-10j),(0.0073258+0.0011179j),,,,,-1.9361180449999616e-06,2.7458523024999453e-05,-14.182256653157737,,,,(9.994137002567348e-08-1.0004428970920587e-07j),9.994137002567348e-08,-1.0004428970920587e-07
2,"(1,)",1,3,(2.4687e-11+8.0538e-11j),(-0.00027932+0.00052572j),(1.4658e-10+2.5251e-10j),(-0.00053068+0.0019953j),,,,,-1.7720059039999645e-07,2.1314216761999573e-06,-12.02829895424547,,,,(9.994412024550097e-08-1.0004427691669545e-07j),9.994412024550097e-08,-1.0004427691669545e-07
3,"(1,)",2,1,(0.079527+5.7166e-09j),(-0.0383-0.06064j),(1.5623e-08+3.6798e-08j),(-0.10601+0.26207j),-0.3,1.3073e-09,3.0,0.036843,0.0005902220645000161,0.03995940249999921,67.70231901419896,-3.9219e-10,0.110529,0.3561886965004586,(9.994465795628451e-08-1.0004248174131232e-07j),9.994465795628451e-08,-1.0004248174131232e-07
4,"(1,)",2,2,(3.2104e-10-7.408e-11j),(0.0019785+0.0012339j),(1.0105e-09-7.2163e-10j),(0.0086607+0.0014491j),,,,,-2.7184857299999445e-06,3.855380764999923e-05,-14.18208939798261,,,,(9.993725375916275e-08-1.0004376949004153e-07j),9.993725375916275e-08,-1.0004376949004153e-07
5,"(1,)",2,3,(4.0072e-11+1.3722e-10j),(-0.00048516+0.00088637j),(2.4346e-10+4.3165e-10j),(-0.00094275+0.0033753j),,,,,-5.105160012499898e-07,6.1407138262498776e-06,-12.02844535962525,,,,(9.994166514917716e-08-1.0004444192201783e-07j),9.994166514917716e-08,-1.0004444192201783e-07
6,"(1,)",3,1,(0.089231+6.1792e-09j),(-0.041638-0.069095j),(1.6688e-08+4.0363e-08j),(-0.11852+0.28521j),-0.3,6.594e-09,3.0,0.037575,0.0007271646460000193,0.04769586724999906,65.59156514602856,-1.9782e-09,0.11272499999999999,0.41666624620979414,(9.99464945256866e-08-1.0004438319548534e-07j),9.99464945256866e-08,-1.0004438319548534e-07
7,"(1,)",3,2,(3.6216e-10-7.7819e-11j),(0.0021999+0.0014218j),(1.1481e-09-7.9219e-10j),(0.0097013+0.0017848j),,,,,-3.430537624999932e-06,4.8650366364999024e-05,-14.18155743591356,,,,(9.993924552432298e-08-1.0004448531761843e-07j),9.993924552432298e-08,-1.0004448531761843e-07
8,"(1,)",3,3,(6.1591e-11+2.4305e-10j),(-0.00090907+0.0015216j),(3.982e-10+7.7275e-10j),(-0.0018759+0.0058542j),,,,,-1.5708374124499683e-06,1.8895329224999623e-05,-12.028825564785462,,,,(9.994135653913171e-08-1.0004441097532662e-07j),9.994135653913171e-08,-1.0004441097532662e-07
9,"(1,)",4,1,(0.10012+6.5415e-09j),(-0.044407-0.079223j),(1.7366e-08+4.368e-08j),(-0.13174+0.30518j),-0.3,1.9201e-08,3.0,0.038393,0.0008878745110000212,0.0552451299999989,62.221777194364776,-5.7603000000000005e-09,0.11517899999999999,0.4719372063396876,(9.994062426860068e-08-1.000464573076396e-07j),9.994062426860068e-08,-1.000464573076396e-07
10,"(1,)",4,2,(3.9315e-10-8.5842e-11j),(0.0023942+0.0015361j),(1.244e-09-8.6442e-10j),(0.010542+0.0019034j),,,,,-4.045898424999919e-06,5.737834777999885e-05,-14.181855734551714,,,,(9.994110510095278e-08-1.0004248714182828e-07j),9.994110510095278e-08,-1.0004248714182828e-07
11,"(1,)",4,3,(7.6638e-11+4.2256e-10j),(-0.0017296+0.0024968j),(5.9178e-10+1.3671e-09j),(-0.0038816+0.0097929j),,,,,-4.6127631999999064e-06,5.5483854484998895e-05,-12.028333577799966,,,,(9.99463757965697e-08-1.0004511965729916e-07j),9.99463757965697e-08,-1.0004511965729916e-07
12,"(1,)",5,1,(0.11233+6.7591e-09j),(-0.046418-0.091157j),(1.7652e-08+4.6628e-08j),(-0.14505+0.32134j),-0.3,4.0086e-08,3.0,0.039358,0.0010768997635000237,0.062149449049998765,57.71145203710261,-1.2025799999999999e-08,0.11807399999999998,0.5172396064036007,(9.994472284062829e-08-1.000466236635126e-07j),9.994472284062829e-08,-1.000466236635126e-07
13,"(1,)",5,2,(4.1646e-10-1.0801e-10j),(0.0026226+0.0015445j),(1.2947e-09-9.7499e-10j),(0.011348+0.0016044j),,,,,-4.631755504999907e-06,6.56756016799987e-05,-14.17941892854727,,,,(9.994565187210022e-08-1.0004783255759583e-07j),9.994565187210022e-08,-1.0004783255759583e-07
14,"(1,)",5,3,(6.0414e-11+6.6725e-10j),(-0.0030354+0.0036384j),(7.2899e-10+2.2066e-09j),(-0.0073963+0.014675j),,,,,-1.1225803859999777e-05,0.0001350304393449973,-12.02857639675525,,,,(9.994052598037183e-08-1.000463449614054e-07j),9.994052598037183e-08,-1.000463449614054e-07
15,"(1,)",6,1,(0.12604+6.8884e-09j),(-0.047716-0.10484j),(1.7707e-08+4.9249e-08j),(-0.15789+0.33472j),-0.3,7.2368e-08,3.0,0.040359,0.0013089196720000263,0.06848336524999862,52.320525632681644,-2.17104e-08,0.12107699999999999,0.5548076478439224,(9.994300805771222e-08-1.0004481818305505e-07j),9.994300805771222e-08,-1.0004481818305505e-07
16,"(1,)",6,2,(4.1822e-10-1.3817e-10j),(0.0027818+0.001401j),(1.2565e-09-1.0825e-09j),(0.011695+0.00087609j),,,,,-4.8506061199999025e-06,6.877027934404865e-05,-14.177667211628806,,,,(9.994433791833461e-08-1.0004790380563263e-07j),9.994433791833461e-08,-1.0004790380563263e-07
17,"(1,)",6,3,(-1.2302e-11+9.3956e-10j),(-0.0047556+0.0046361j),(6.9886e-10+3.1815e-09j),(-0.012424+0.019397j),,,,,-2.205457728499956e-05,0.00026529969249999467,-12.029234977921725,,,,(9.99415384923599e-08-1.0004297954472749e-07j),9.99415384923599e-08,-1.0004297954472749e-07
18,"(1,)",7,1,(0.14142+6.9226e-09j),(-0.048311-0.12034j),(1.7621e-08+5.1565e-08j),(-0.16991+0.34586j),-0.3,1.2874e-07,3.0,0.041359,0.0015919740395000208,0.07424427384999853,46.63661090435612,-3.8622e-08,0.12407699999999999,0.5855420409140978,(9.994229871506785e-08-1.0004682812316306e-07j),9.994229871506785e-08,-1.0004682812316306e-07
19,"(1,)",7,2,(3.9461e-10-1.7256e-10j),(0.0028367+0.0011089j),(1.1239e-09-1.169e-09j),(0.011465-0.00021929j),,,,,-4.638263049999907e-06,6.574715655204867e-05,-14.174952098081196,,,,(9.994244769806881e-08-1.0005090454812826e-07j),9.994244769806881e-08,-1.0005090454812826e-07
20,"(1,)",7,3,(-1.4045e-10+1.2069e-09j),(-0.0067447+0.0053374j),(4.7571e-10+4.1916e-09j),(-0.018593+0.023329j),,,,,-3.6989408424999266e-05,0.00044497094499999106,-12.029685359857169,,,,(9.994018864535076e-08-1.0004277626486377e-07j),9.994018864535076e-08,-1.0004277626486377e-07
21,"(1,)",8,1,(0.15868+6.9059e-09j),(-0.048193-0.13779j),(1.7445e-08+5.3592e-08j),(-0.18093+0.35511j),-0.3,2.0927e-07,3.0,0.042314,0.0019353465255000195,0.07941938849999841,41.03626273309349,-6.2781e-08,0.126942,0.6103893272084763,(9.994241689483672e-08-1.0004669395055845e-07j),9.994241689483672e-08,-1.0004669395055845e-07
22,"(1,)",8,2,(3.4448e-10-2.1319e-10j),(0.0027892+0.00065507j),(8.9086e-10-1.238e-09j),(0.010646-0.0017302j),,,,,-4.104376672449918e-06,5.816545401999883e-05,-14.171568221412693,,,,(9.993976111664501e-08-1.0004548424910584e-07j),9.993976111664501e-08,-1.0004548424910584e-07
23,"(1,)",8,3,(-3.1373e-10+1.4623e-09j),(-0.0088733+0.0057396j),(9.1818e-11+5.1823e-09j),(-0.025468+0.02636j),,,,,-5.583923052499888e-05,0.0006717343119999866,-12.029791701718656,,,,(9.994056041014025e-08-1.000418889425437e-07j),9.994056041014025e-08,-1.000418889425437e-07
24,"(1,)",9,1,(0.17804+6.7856e-09j),(-0.047286-0.15727j),(1.7276e-08+5.5293e-08j),(-0.19028+0.36277j),-0.3,3.1483e-07,3.0,0.043206,0.0023642114520000222,0.08390427564999832,35.489327986724234,-9.4449e-08,0.129618,0.6290797898285599,(9.994344269152867e-08-1.0004476190242876e-07j),9.994344269152867e-08,-1.0004476190242876e-07
25,"(1,)",9,2,(2.6494e-10-2.4961e-10j),(0.0025734+7.6074e-05j),(5.6183e-10-1.2497e-09j),(0.00906-0.0034349j),,,,,-3.314087406737934e-06,4.694106900499905e-05,-14.164101076381472,,,,(9.994206063991194e-08-1.0004514524370491e-07j),9.994206063991194e-08,-1.0004514524370491e-07
26,"(1,)",9,3,(-5.262e-10+1.6898e-09j),(-0.011077+0.0058326j),(-4.4035e-10+6.1244e-09j),(-0.03284+0.028405j),,,,,-7.835957587999843e-05,0.0009426548124999813,-12.02986108479688,,,,(9.994362384905342e-08-1.0004571755687079e-07j),9.994362384905342e-08,-1.0004571755687079e-07
27,"(2,)",1,1,(0.070879+4.0691e-09j),(-0.02414-0.054376j),(0.039701-0.02789j),(-0.10218+0.22002j),-0.3,9.9771e-10,3.0,0.037336,0.000742171832500008,0.028247765649499997,38.06095086409749,-2.99313e-10,0.112008,0.24556811850046417,(-0.1732044764153246-0.10000439323644272j),-0.1732044764153246,-0.10000439323644272
28,"(2,)",1,2,(4.0103e-10-5.7717e-12j),(0.0020329+0.0019738j),(1.3856e-09-5.9745e-10j),(0.0099141+0.0039463j),,,,,-4.014284424999919e-06,5.693133124999887e-05,-14.182186716876698,,,,(9.993846775715438e-08-1.000430876539533e-07j),9.993846775715438e-08,-1.000430876539533e-07
29,"(2,)",1,3,(-4.3201e-12+9.6999e-11j),(-0.00050671+0.00046426j),(6.2086e-11+3.3129e-10j),(-0.0013471+0.0019663j),,,,,-2.3614618584999527e-07,2.8405070499999425e-06,-12.028595929998584,,,,(9.994333166678815e-08-1.0004559939395327e-07j),9.994333166678815e-08,-1.0004559939395327e-07
30,"(2,)",2,1,(0.079527+4.4737e-09j),(-0.026589-0.061406j),(0.044041-0.030688j),(-0.11398+0.24298j),-0.3,4.4521e-09,3.0,0.038556,0.0009234359860000102,0.0345746788875,37.441338015496854,-1.33563e-09,0.11566799999999999,0.2909295820927136,(-0.17320892088032527-0.10000266358572939j),-0.17320892088032527,-0.10000266358572939
